id,name,year,court,category,holding,facts_one_liner,cluster,outline_section,first_letter,citation_hint
verlinden,Verlinden v. Central Bank of Nigeria,1983,SCOTUS,fqj,"FSIA grants FQJ over actions against foreign sovereigns.","Dutch corporation sued Nigerian central bank.",fqj,FQJ Constitutional,V,"461 U.S. 480."
gibbs,United Mine Workers v. Gibbs,1966,SCOTUS,fqj,"Pendent jurisdiction over state claims sharing common nucleus of operative fact.","Labor and state-law tort claims arising from same boycott.",supplemental,Supplemental,U,"383 U.S. 715."
finley,Finley v. United States,1989,SCOTUS,fqj,"No pendent-party jurisdiction without express grant.","Plane crash plaintiff joined non-federal defendants to FTCA claim.",supplemental,Supplemental,F,"490 U.S. 545."
kroger,Owen Equipment v. Kroger,1978,SCOTUS,fqj,"Plaintiff may not use ancillary jurisdiction to evade complete-diversity rule.","Iowa plaintiff impleaded Iowa defendant in diversity case.",supplemental,Supplemental,O,"437 U.S. 365."
exxon,Exxon Mobil v. Allapattah,2005,SCOTUS,fqj,"§ 1367 allows supplemental jurisdiction over class members below amount-in-controversy.","Diversity class action with members below $75k.",supplemental,Supplemental,E,"545 U.S. 546."
swift,Swift v. Tyson,1842,SCOTUS,erie,"Federal courts apply general commercial common law in diversity.","Negotiability of bill of exchange in interstate commerce.",erie,Erie Background,S,"41 U.S. 1."
erie,Erie R.R. v. Tompkins,1938,SCOTUS,erie,"There is no federal general common law; diversity courts apply state law.","Pedestrian struck by train along Pennsylvania track.",erie,Erie Background,E,"304 U.S. 64."
gelpcke,Gelpcke v. City of Dubuque,1864,SCOTUS,erie,"Federal court refused to follow state court's overruling of prior decisions.","Iowa repudiated bonds previously held valid.",erie,Erie Background,G,"68 U.S. 175."
clearfield,Clearfield Trust v. United States,1943,SCOTUS,erie,"Federal common law governs U.S. commercial paper.","Forged government check passed through bank.",fcl,Federal Common Law,C,"318 U.S. 363."
doench,D'Oench Duhme v. FDIC,1942,SCOTUS,erie,"Federal common law protects FDIC's interest in bank notes.","Side agreement made note unenforceable under state law.",fcl,Federal Common Law,D,"315 U.S. 447."
kimbell,United States v. Kimbell Foods,1979,SCOTUS,erie,"Adopt state law as federal rule when no need for uniformity.","Priority of federal SBA lien against state UCC interest.",fcl,Federal Common Law,K,"440 U.S. 715."
boyle,Boyle v. United Technologies,1988,SCOTUS,erie,"Government contractor defense recognized as federal common law.","Marine drowned in defective helicopter escape hatch.",fcl,Federal Common Law,B,"487 U.S. 500."
miree,Miree v. DeKalb County,1977,SCOTUS,erie,"State law governs when only incidental U.S. interest in third-party contract.","FAA grant required airport restrictions; bird-strike crash.",fcl,Federal Common Law,M,"433 U.S. 25."
sabbatino,Banco Nacional v. Sabbatino,1964,SCOTUS,erie,"Act of state doctrine is federal common law.","Cuban expropriation of sugar; suit for proceeds.",fcl,Federal Common Law,B,"376 U.S. 398."
borak,J.I. Case v. Borak,1964,SCOTUS,roa,"Implied PROA from purposivist reading of '34 Act.","Shareholder challenged proxy statement under § 14(a).",proa,Implied PROA,J,"377 U.S. 426."
cort-ash,Cort v. Ash,1975,SCOTUS,roa,"Four-factor test for implied PROA.","Shareholder challenged campaign-finance crime statute.",proa,Implied PROA,C,"422 U.S. 66."
cannon,Cannon v. University of Chicago,1979,SCOTUS,roa,"Title IX includes implied PROA.","Female applicant denied medical school admission.",proa,Implied PROA,C,"441 U.S. 677."
sandoval,Alexander v. Sandoval,2001,SCOTUS,roa,"Implied PROA depends on text and structure; agency reg cannot create one.","Disparate-impact challenge to English-only Alabama drivers tests.",proa,Implied PROA,A,"532 U.S. 275."
touche-ross,Touche Ross v. Redington,1979,SCOTUS,roa,"Implied PROAs disfavored absent statutory indication.","Customers sued auditors under § 17(a) of '34 Act.",proa,Implied PROA,T,"442 U.S. 560."
bivens,Bivens v. Six Unknown Named Agents,1971,SCOTUS,roa,"Damages remedy implied for 4A violation by federal officers.","FBI search and arrest without warrant.",bivens,Bivens,B,"403 U.S. 388."
davis,Davis v. Passman,1979,SCOTUS,roa,"Bivens action for 5A gender discrimination.","Congresswoman fired female staffer for being female.",bivens,Bivens,D,"442 U.S. 228."
carlson,Carlson v. Green,1980,SCOTUS,roa,"Bivens action for 8A medical-care violations.","Federal prisoner died from inadequate care.",bivens,Bivens,C,"446 U.S. 14."
bush-lucas,Bush v. Lucas,1983,SCOTUS,roa,"No Bivens where civil service remedy exists.","NASA engineer demoted for whistleblowing speech.",bivens,Bivens,B,"462 U.S. 367."
malesko,Correctional Services v. Malesko,2001,SCOTUS,roa,"No Bivens against private corporation operating federal prison.","Heart-attack inmate sued private prison company.",bivens,Bivens,C,"534 U.S. 61."
abbasi,Ziglar v. Abbasi,2017,SCOTUS,roa,"Two-step test: new context + special factors counsel hesitation.","9/11 Muslim detainees sued for harsh detention.",bivens,Bivens,Z,"582 U.S. 120."
hernandez,Hernandez v. Mesa,2020,SCOTUS,roa,"No Bivens for cross-border shooting; foreign-relations special factor.","Border agent shot Mexican boy across border.",bivens,Bivens,H,"589 U.S. 93."
egbert,Egbert v. Boule,2022,SCOTUS,roa,"Any rational reason for Congressional preference defeats Bivens extension.","Border agent assaulted innkeeper near Canadian border.",bivens,Bivens,E,"596 U.S. 482."
chisholm,Chisholm v. Georgia,1793,SCOTUS,imm,"State subject to suit in federal court by out-of-state citizen.","South Carolina creditor sued Georgia for debts.",ssi,SSI Origins,C,"2 U.S. 419."
hans,Hans v. Louisiana,1890,SCOTUS,imm,"State immune from suit by its own citizen on federal claim.","Louisiana resident sued state for unpaid bond coupons.",ssi,SSI Origins,H,"134 U.S. 1."
expaul,Ex parte Young,1908,SCOTUS,imm,"Officer suit fiction permits prospective injunction against unconstitutional state action.","Railroad challenged Minnesota rate regulation; AG held in contempt.",ssi,Officer Suits,E,"209 U.S. 123."
edelman,Edelman v. Jordan,1974,SCOTUS,imm,"Young allows prospective relief but not retroactive damages from state treasury.","Welfare benefits delayed under state procedure.",ssi,Officer Suits,E,"415 U.S. 651."
pennhurst,Pennhurst v. Halderman,1984,SCOTUS,imm,"Young inapplicable to suits seeking to enforce state law against state officer.","Class sought conditions improvements under state institutional law.",ssi,Officer Suits,P,"465 U.S. 89."
fitzpatrick,Fitzpatrick v. Bitzer,1976,SCOTUS,imm,"§ 5 of 14A abrogates SSI.","Title VII suit against Connecticut.",ssi,Abrogation,F,"427 U.S. 445."
seminole,Seminole Tribe v. Florida,1996,SCOTUS,imm,"Article I Indian Commerce Clause cannot abrogate SSI.","Tribe sued Florida under IGRA for refusing good-faith negotiations.",ssi,Abrogation,S,"517 U.S. 44."
hibbs,Nevada Dept. of HR v. Hibbs,2003,SCOTUS,imm,"FMLA family-care provision abrogation valid under § 5.","State employee denied family medical leave.",ssi,Abrogation,N,"538 U.S. 721."
lane,Tennessee v. Lane,2004,SCOTUS,imm,"Title II ADA abrogation valid as applied to fundamental access to courts.","Paraplegic crawled up stairs to attend court.",ssi,Abrogation,T,"541 U.S. 509."
katz,Central Virginia CC v. Katz,2006,SCOTUS,imm,"Bankruptcy clause abrogation via plan of convention.","Bankruptcy trustee recovered preferential transfers from state college.",ssi,Abrogation,C,"546 U.S. 356."
torres,Torres v. TX DPS,2022,SCOTUS,imm,"War powers abrogate SSI via plan of convention.","USERRA suit by veteran against state employer.",ssi,Abrogation,T,"597 U.S. 580."
penneast,PennEast Pipeline v. NJ,2021,SCOTUS,imm,"Eminent domain power may waive SSI in plan of convention.","Pipeline condemnation of state property.",ssi,Abrogation,P,"594 U.S. ___."
monroe,Monroe v. Pape,1961,SCOTUS,imm,"§ 1983 reaches state officials acting under color even when violating state law.","Chicago police home invasion without warrant.",sec1983,§ 1983 Scope,M,"365 U.S. 167."
monell,Monell v. NYC Dept Social Services,1978,SCOTUS,imm,"Municipalities are persons under § 1983 but liable only for policy or custom.","NYC required pregnant employees to take unpaid leave.",sec1983,Monell,M,"436 U.S. 658."
pembaur,Pembaur v. Cincinnati,1986,SCOTUS,imm,"Single decision of final policymaker may constitute policy.","County prosecutor authorized forced entry into doctor's office.",sec1983,Monell,P,"475 U.S. 469."
canton,City of Canton v. Harris,1989,SCOTUS,imm,"Failure-to-train liability requires deliberate indifference.","Detainee with medical emergency denied treatment.",sec1983,Monell,C,"489 U.S. 378."
connick,Connick v. Thompson,2011,SCOTUS,imm,"Single Brady violation insufficient to show pattern of failure to train.","Wrongfully convicted man freed after 18 years on death row.",sec1983,Monell,C,"563 U.S. 51."
will,Will v. Michigan State Police,1989,SCOTUS,imm,"State is not a person under § 1983.","State trooper sued state for First Amendment retaliation.",sec1983,§ 1983 Scope,W,"491 U.S. 58."
hafer,Hafer v. Melo,1991,SCOTUS,imm,"State officer in personal capacity is a person under § 1983.","Auditor General fired employees; sued personally.",sec1983,§ 1983 Scope,H,"502 U.S. 21."
thiboutot,Maine v. Thiboutot,1980,SCOTUS,imm,"§ 1983 reaches violations of federal statutes generally.","Welfare recipients sued state for Social Security Act violation.",sec1983,§ 1983 Scope,M,"448 U.S. 1."
seaclam,Middlesex County Sewerage v. NSA,1981,SCOTUS,imm,"Comprehensive remedial scheme bars supplemental § 1983 enforcement.","Sea clammers sued under § 1983 for FWPCA pollution.",sec1983,§ 1983 Scope,S,"453 U.S. 1."
gonzaga,Gonzaga v. Doe,2002,SCOTUS,imm,"Federal statute creates § 1983-enforceable right only with rights-creating language.","Student sued under FERPA after counselor disclosed information.",sec1983,§ 1983 Scope,G,"536 U.S. 273."
talevski,Health & Hospital Corp. v. Talevski,2023,SCOTUS,imm,"Spending Clause statute can be § 1983-enforceable when rights-creating.","Nursing home patient family sued under FNHRA.",sec1983,§ 1983 Scope,H,"599 U.S. 166."
blessing,Blessing v. Freestone,1997,SCOTUS,imm,"Three-factor test for § 1983 federal-statute claims.","Mothers sued state child support agency.",sec1983,§ 1983 Scope,B,"520 U.S. 329."
harlow,Harlow v. Fitzgerald,1982,SCOTUS,imm,"Modern QI: clearly established law a reasonable officer would know.","White House aides sued for retaliation against whistleblower.",qi,Qualified Immunity,H,"457 U.S. 800."
nixon-fitz,Nixon v. Fitzgerald,1982,SCOTUS,imm,"President has absolute civil immunity for official acts.","Whistleblower sued Nixon for reorganization firing.",absolute,Absolute Immunity,N,"457 U.S. 731."
trump-us,Trump v. United States,2024,SCOTUS,imm,"President has criminal immunity for core official acts; presumptive for outer acts.","January 6 indictments.",absolute,Absolute Immunity,T,"603 U.S. ___."
clinton-jones,Clinton v. Jones,1997,SCOTUS,imm,"No civil immunity for unofficial acts.","Civil suit for pre-presidency conduct.",absolute,Absolute Immunity,C,"520 U.S. 681."
pierson,Pierson v. Ray,1967,SCOTUS,imm,"Judges absolutely immune from § 1983 damages.","Civil rights plaintiffs sued judge for jailing them.",absolute,Absolute Immunity,P,"386 U.S. 547."
stump,Stump v. Sparkman,1978,SCOTUS,imm,"Judicial immunity covers even outrageous orders within jurisdiction.","Judge ordered sterilization of teenager without notice.",absolute,Absolute Immunity,S,"435 U.S. 349."
imbler,Imbler v. Pachtman,1976,SCOTUS,imm,"Prosecutors absolutely immune for advocacy functions.","Wrongfully convicted man sued for using perjured testimony.",absolute,Absolute Immunity,I,"424 U.S. 409."
buckley,Buckley v. Fitzsimmons,1993,SCOTUS,imm,"Investigative tasks not protected by absolute immunity.","Prosecutor fabricated evidence pre-charge.",absolute,Absolute Immunity,B,"509 U.S. 259."
mitchell-fors,Mitchell v. Forsyth,1985,SCOTUS,imm,"Denial of QI immediately appealable.","AG ordered warrantless wiretap.",qi,Qualified Immunity,M,"472 U.S. 511."
anderson-creighton,Anderson v. Creighton,1987,SCOTUS,imm,"Clearly established law must be sufficiently particularized to facts.","FBI agent sued for warrantless search.",qi,Qualified Immunity,A,"483 U.S. 635."
saucier,Saucier v. Katz,2001,SCOTUS,imm,"Mandatory two-step QI sequence (overruled by Pearson).","Officer pushed protester near VP.",qi,Qualified Immunity,S,"533 U.S. 194."
pearson,Pearson v. Callahan,2009,SCOTUS,imm,"Courts may decide QI prongs in any order.","Officer entered apartment with informant consent.",qi,Qualified Immunity,P,"555 U.S. 223."
taylor-riojas,Taylor v. Riojas,2020,SCOTUS,imm,"Egregious conditions are obviously unconstitutional even without on-point case.","Inmate held in feces-covered cell.",qi,Qualified Immunity,T,"592 U.S. 7."
hope,Hope v. Pelzer,2002,SCOTUS,imm,"Egregious conduct does not require on-point case for clearly established.","Inmate handcuffed to hitching post for hours.",qi,Qualified Immunity,H,"536 U.S. 730."
kisela,Kisela v. Hughes,2018,SCOTUS,imm,"QI protects split-second use-of-force decisions absent specific precedent.","Officer shot woman with knife in yard.",qi,Qualified Immunity,K,"584 U.S. ___."
brown-allen,Brown v. Allen,1953,SCOTUS,hab,"Federal habeas reaches all federal questions, including factual ones.","Three death row petitioners sought review.",habeas,Habeas Scope,B,"344 U.S. 443."
stone-powell,Stone v. Powell,1976,SCOTUS,hab,"4A claims not cognizable on habeas if state provided full and fair litigation.","State prisoners challenged Fourth Amendment rulings.",habeas,Habeas Scope,S,"428 U.S. 465."
wainwright,Wainwright v. Sykes,1977,SCOTUS,hab,"Cause and prejudice standard for procedural default.","Failure to object to confession admission.",habeas,Procedural Default,W,"433 U.S. 72."
coleman-thomp,Coleman v. Thompson,1991,SCOTUS,hab,"Attorney error in collateral proceedings not cause for default.","Late filing in state collateral review.",habeas,Procedural Default,C,"501 U.S. 722."
mccarrier,Murray v. Carrier,1986,SCOTUS,hab,"Attorney error short of IATC not cause for procedural default.","Counsel omitted issue on appeal.",habeas,Procedural Default,M,"477 U.S. 478."
mcquiggin,McQuiggin v. Perkins,2013,SCOTUS,hab,"Actual innocence excuses AEDPA's one-year limitations.","Petitioner produced new affidavits.",habeas,AEDPA,M,"569 U.S. 383."
martinez,Martinez v. Ryan,2012,SCOTUS,hab,"Ineffective assistance at initial-review collateral may be cause.","Arizona's bar on direct-appeal IATC raised on collateral.",habeas,Procedural Default,M,"566 U.S. 1."
shinn,Shinn v. Ramirez,2022,SCOTUS,hab,"§ 2254(e)(2) limits new-evidence development for IATC excused under Martinez.","Innocence claims with new evidence in Arizona cases.",habeas,AEDPA,S,"596 U.S. 366."
teague,Teague v. Lane,1989,SCOTUS,hab,"New rules of constitutional criminal procedure don't apply retroactively on habeas.","Jury composition challenge.",habeas,Retroactivity,T,"489 U.S. 288."
felker,Felker v. Turpin,1996,SCOTUS,hab,"AEDPA's bar on second petitions does not violate Suspension Clause.","Death-row petitioner barred from second petition.",habeas,AEDPA,F,"518 U.S. 651."
williams-taylor,Williams v. Taylor,2000,SCOTUS,hab,"§ 2254(d)(1): contrary to vs. unreasonable application standards.","Death-row IATC claim.",habeas,AEDPA,W,"529 U.S. 362."
richter,Harrington v. Richter,2011,SCOTUS,hab,"Even summary state-court denial gets AEDPA deference.","Murder conviction with summary state denial.",habeas,AEDPA,H,"562 U.S. 86."
pinholster,Cullen v. Pinholster,2011,SCOTUS,hab,"§ 2254(d)(1) review limited to record before state court.","Death-row petitioner sought new evidence in federal court.",habeas,AEDPA,C,"563 U.S. 170."
hamdi,Hamdi v. Rumsfeld,2004,SCOTUS,hab,"U.S. citizen detainee entitled to due process to challenge enemy-combatant designation.","American-born Saudi held at Guantanamo.",habeas,Habeas Scope,H,"542 U.S. 507."
rasul,Rasul v. Bush,2004,SCOTUS,hab,"§ 2241 habeas reaches Guantanamo.","British and Australian Guantanamo detainees.",habeas,Habeas Scope,R,"542 U.S. 466."
fay-noia,Fay v. Noia,1963,SCOTUS,hab,"Pre-Wainwright deliberate-bypass standard for default.","Murder conviction confession.",habeas,Procedural Default,F,"372 U.S. 391."
