id,name,category,elements,source_case,when_applied,common_distractors
standing-art3,Article III Standing,just,"Injury in fact;Traceability to defendant;Redressability by court action",lujan,Threshold question in any federal action,"Substantial federal interest;Adequate state remedy;Ripe controversy;Prudential standing"
standing-injury,Injury in Fact (TransUnion),just,"Concrete (close common-law analog);Particularized (affects plaintiff personally);Actual or imminent",transunion,Standing analysis after Spokeo/TransUnion,"Statutory violation alone;Generalized grievance;Procedural injury alone"
standing-prudential,Prudential Standing Limits,just,"No third-party rights;No generalized grievance;Within zone of interests",allen-wright,Court-created limits Congress can override,"Particularized harm;Article III injury;Redressable by court"
flast-test,Flast Two-Nexus Test,just,"Nexus between status and legislative enactment;Nexus between status and constitutional limit on spending",flast,Establishment Clause taxpayer standing,"General interest in lawful government;Concrete pocketbook injury;Direct appropriation"
ripeness-abbott,Ripeness (Abbott Labs),just,"Fitness of issues for judicial decision;Hardship to parties from withholding review",abbott-labs,Pre-enforcement challenges,"Imminent enforcement;Standing satisfied;No alternative remedy"
mootness,Mootness Exceptions,just,"Capable of repetition yet evading review;Voluntary cessation;Class action with named plaintiff change;Collateral consequences",laidlaw,When dispute appears resolved,"Prudential mootness;Article III limit;Generalized injury"
grable-fqj,Grable Embedded FQJ,fqj,"Necessarily raised;Actually disputed;Substantial to federal system;No disturbance of Congressional balance",grable,State-law claim with embedded federal question,"Federal preemption;Diversity present;Well-pleaded complaint"
mottley-wpc,Well-Pleaded Complaint Rule,fqj,"Federal question must appear in plaintiff's properly stated claim;Cannot rest on anticipated defense;Cannot rest on plaintiff's response to defense",mottley,Statutory FQJ under § 1331,"Holmes rule;Embedded question;Constitutional FQJ"
holmes-rule,Holmes Rule,fqj,"Federal law creates the cause of action;Sufficient (but not necessary) basis for FQJ",amwell,Default test for arising-under jurisdiction,"State law creates cause;Federal defense raised;Embedded question"
gibbs-supp,Gibbs Supplemental Test,fqj,"Common nucleus of operative fact;Claims plaintiff would ordinarily expect to try together;Substantial federal question",gibbs,Supplemental jurisdiction over state claims,"Compulsory counterclaim;Required joinder;Diversity present"
sec1367,§ 1367 Supplemental Jurisdiction,fqj,"Same case or controversy as anchor claim;Not destroying complete diversity (1367(b));Discretionary factors permit retention",exxon,Statutory supplemental jurisdiction,"Diversity sufficient;Federal preemption;Removal proper"
mich-long,Michigan v. Long Presumption,scsr,"State court decision fairly appears to rest primarily on federal law;State court does not explicitly invoke independent state grounds;Presumption: federal law controls and SC may review",michigan-long,Adequate & independent state ground analysis,"Federal interest substantial;State interest minimal;Erie doctrine"
fcl-test,Federal Common Law Test,erie,"Power: federal interest justifies displacement;Discretion: choose new federal rule or borrow state",clearfield,Whether to apply federal common law,"Erie commands state law;Article III ingredient;Congressional preemption"
sandoval-proa,Sandoval Implied PROA,roa,"Rights-creating language in text;Statutory structure indicating private enforcement;Context only clarifies text;No exclusive remedial scheme",sandoval,Modern test for implied rights of action,"Cort four factors;Legislative history primary;Beneficiary class identified"
cort-ash,Cort v. Ash Four Factors,roa,"Plaintiff in class for whose benefit statute enacted;Indication of legislative intent to create remedy;Consistent with statute's purpose;Cause of action not traditionally state",cort-ash,Older implied PROA test (largely supplanted),"Text and structure only;Agency interpretation controls;Comprehensive remedial scheme"
bivens-extension,Ziglar/Egbert Bivens Two-Step,roa,"New context (different in any meaningful way);Special factors counseling hesitation;Any rational reason to defer to Congress",abbasi,Whether to extend Bivens beyond core trio,"Cort v. Ash factors;Sandoval test;Adequate state remedy"
seminole-abrog,Seminole Tribe Abrogation Test,imm,"Congress unequivocally expressed intent to abrogate;Acted pursuant to a valid grant of constitutional authority that permits abrogation",seminole,Whether Congress validly abrogated SSI,"Plan of convention;Officer suit fiction;14A Section 5"
plan-conv,Plan of Convention Doctrine,imm,"Federal power complete in itself;States consented to that power's full exercise via Constitution;State immunity would impair the federal scheme",katz,Implicit SSI waiver in Constitution,"Section 5 abrogation;Congressional clear statement;Common law SSI"
ex-parte-young,Ex parte Young Officer Suit,imm,"Sued state officer in personal capacity;Seeking prospective relief only;Alleging ongoing violation of federal law;No detailed remedial scheme displaces",expaul,Routing around SSI,"Plan of convention;Section 5 abrogation;14A enforcement"
monell-mun,Monell Municipal Liability,imm,"Municipality is a person under § 1983;Plaintiff identifies official policy or custom;Policy/custom is moving force behind constitutional violation",monell,Suing local governments,"Respondeat superior;Personal capacity;Final policymaker"
canton-train,Canton Failure-to-Train Liability,imm,"Need for training was obvious;Failure reflects deliberate indifference;Failure caused the violation",canton,Municipal liability via training omission,"Negligent supervision;Single-incident liability;Pattern of violations"
harlow-qi,Harlow Qualified Immunity,imm,"Right was clearly established at time of conduct;Reasonable officer would have known conduct violated right;Particularized to factual context",harlow,Defense to § 1983/Bivens damages,"Good faith subjective belief;Probable cause analysis;Absolute immunity"
sec1983-rights,Blessing/Gonzaga § 1983 Statutory Rights,imm,"Congress intended provision to benefit plaintiff;Right is not so vague and amorphous that enforcement strains judicial competence;Statute unambiguously imposes binding obligation",gonzaga,Whether federal statute enforceable under § 1983,"Implied private right of action;Comprehensive remedial scheme;Spending clause condition"
teague-retro,Teague Retroactivity,hab,"Identify the rule sought;Determine whether new (not dictated by prior precedent);Apply only narrow watershed and substantive exceptions on collateral review",teague,Retroactivity on federal habeas,"AEDPA deference;Procedural default;Cause and prejudice"
aedpa-2254d,§ 2254(d) AEDPA Deference,hab,"State court adjudicated on the merits;Decision contrary to clearly established federal law;Or unreasonable application of clearly established federal law;Or unreasonable determination of facts",williams-taylor,Federal habeas review of state convictions,"De novo review;Cause and prejudice;Procedural default"
default-cause,Procedural Default Cause and Prejudice,hab,"Cause: external factor impeded compliance;Prejudice: error worked to actual and substantial disadvantage;Or actual innocence gateway",wainwright,Excuse for procedural default,"Independent review;AEDPA deference;Exhaustion"
public-rights,Schor Non-Article III Factors,cong,"Extent of essential attributes reserved to Article III;Origin and importance of right;Concerns motivating Congress;Consent of parties",schor,Whether Article I tribunal valid,"Public rights doctrine;Pure adjunct;Magistrate consent"
testa-state,Testa Federal Claims in State Court,scsr,"State courts must enforce federal law;Cannot discriminate against federal claims;Valid excuse only via neutral state rule;No nullification of federal rights",testa,State courts hearing federal claims,"Anti-commandeering;Younger abstention;Removal jurisdiction"
